a	A
d'une	d y n
d'y	d i
dada	d a d a
dague	d a g
daim	d E~
daimyo	d a j m j o
dalle	d a l
dam	d A~
dama	d a m a
damas	d a m a
dame	d a m
damier	d a m j e
dan	d a n
dance	d A~ s
danger	d A~ Z e
dangereuse	d A~ Z R 2 z
dangereux	d A~ Z R 2
dans	d A~
danse	d A~ s
danser	d A~ s e
danseuse	d A~ s 2 z
dard	d a R
das	d a s
date	d a t
dater	d a t e
datif	d a t i f
dattes	d a t
dattier	d a t j e
dauphin	d o f E~
dauphine	d O f i n
davantage	d a v A~ t a Z
daïra	d a i R a
de	d @
dealer	d i l e
debout	d @ b u
dedans	d @ d A~
degré	d @ g R e
degrés	d @ g R e
dehors	d @ O R
delta	d E l t a
delà	d @ l a
demain	d @ m E~
demande	d @ m A~ d
demander	d @ m A~ d e
demandeur	d @ m A~ d 9 R
demeurant	d @ m 9 R A~
demeure	d @ m 9 R
demeurer	d @ m 9 R e
demeuré	d @ m 9 R e
demi	d @ m i
demoiselle	d @ m w a z E l
dengue	d E~ g
denier	d @ n j e
denrée	d A~ R e
dense	d A~ s
dent	d A~
dentaire	d A~ t E R
dentale	d A~ t a l
dentelle	d A~ t E l
dentelles	d A~ t E l
dentiste	d A~ t i s t
dentition	d A~ t i s j O~
dents	d A~
depuis	d @ p H i
der	d E R
derby	d E R b i
dermatologue	d E R m a t O l O g
dernier	d E R n j e
dernièrement	d E R n j E R m A~
derrière	d E R j E R
des	d E
descendance	d e s A~ d A~ s
descendant	d e s A~ d A~
descendre	d e s A~ d R
descente	d e s A~ t
descripteur	d @ s k R i p t 9 R
descriptif	d E s k R i p t i f
description	d E s k R i p s j O~
design	d i z a j n
designer	d i z a j n 9 R
despotisme	d E s p O t i z m
desquelles	d e k E l
desquels	d e k E l
dessalement	d e s a l m A~
dessein	d e s E~
dessert	d e s E R
desservaient	d e s E R v E
desservait	d e s E R v E
desservant	d e s E R v A~
desservent	d e s E R v
desservi	d e s E R v i
desservir	d e s E R v i R
desservis	d e s E R v i
dessin	d e s E~
dessiner	d e s i n e
dessous	d @ s u
dessus	d @ s y
destin	d E s t E~
destinataire	d E s t i n a t E R
destination	d E s t i n a s j O~
destinée	d E s t i n e
destitution	d E s t i t y s j O~
destroyer	d E s t R O j 9 R
destroyers	d E s t R O j e
destructeur	d E s t R y k t 9 R
destruction	d E s t R y k s j O~
destructrice	d E s t R y k t R i s
dette	d E t
dettes	d E t
deuil	d 9 j
deutérium	d 2 t e R j O m
deux	d 2
deuxième	d 2 z j E m
deuxièmement	d 2 z j E m m A~
deuxièmes	d 2 z j E m
devait	d @ v E
devance	d @ v A~ s
devancé	d @ v A~ s e
devant	d @ v A~
devançant	d @ v A~ s A~
devenir	d @ v @ n i R
devenir	d @ v n i R
devin	d @ v E~
deviner	d @ v i n e
devinrent	d @ v E~ R
devis	d @ v i
devise	d @ v i z
devoir	d @ v w a R
devoirs	d @ v w a R
devrait	d @ v R E
dextre	d E k s t R
dextérité	d E k s t e R i t e
deçà	d @ s a
dia	d j a
diable	d j A b l
diabolique	d j a b O l i k
diaboliques	d j a b O l i k
diacre	d j a k R
dialectal	d j a l E k t a l
dialecte	d j a l E k t
dialogue	d j a l O g
dialoguer	d j a l O g e
dialyse	d j a l i z
diamant	d j a m A~
diamètre	d j a m E t R
diane	d j a n
diapason	d j a p a z O~
diaphragme	d j a f R a g m
diapositives	d j a p O z i t i v
diarrhée	d j a R e
dictateur	d i k t a t 9 R
dictatorial	d i k t a t O R j a l
dictature	d i k t a t y R
dictionnaire	d i k s j O n E R
dicton	d i k t O~
dictée	d i k t e
didactique	d i d a k t i k
dieu	d j 2
dieux	d j 2
diffamation	d i f a m a s j O~
difficile	d i f i s i l
difficilement	d i f i s i l m A~
difficulté	d i f i k y l t e
diffuse	d i f y z
différemment	d i f e R a m A~
différence	d i f e R A~ s
différencier	d i f e R A~ s j e
différent	d i f e R A~
différer	d i f e R e
digestion	d i Z E s t j O~
digital	d i Z i t a l
digitale	d i Z i t a l
digitales	d i Z i t a l
digitaux	d i Z i t o
digne	d i J
dignité	d i J i t e
digue	d i g
digérer	d i Z e R e
dilemme	d i l E m
diligence	d i l i Z A~ s
dimanche	d i m A~ S
dimension	d i m A~ s j O~
dimensionnelle	d i m A~ s j O n E l
dimensionnelles	d i m A~ s j O n E l
diminuer	d i m i n H e
dinde	d E~ d
dindon	d E~ d O~
dingue	d E~ g
dino	d i n o
dinosaure	d i n o z O R
diocèse	d j O s E z
diocèses	d j O s E z
dioxyde	d j O k s i d
dioxygène	d j O k s i Z E n
diphtongue	d i f t O~ g
diphtongues	d i f t O~ g
diplomatie	d i p l O m a s i
diplôme	d i p l o m
diplômes	d i p l o m
diptère	d i p t E R
dipôle	d i p o l
dire	d i R
direct	d i R E k t
directement	d i R E k t @ m A~
directeur	d i R E k t 9 R
direction	d i R E k s j O~
directionnel	d i R E k s j O n E l
directive	d i R E k t i v
directrice	d i R E k t R i s
dirige	d i R i Z
dirigeable	d i R i Z a b l
dirigeables	d i R i Z a b l
diriger	d i R i Z e
dis	d i
discerner	d i s E R n e
disciple	d i s i p l
disciplinaire	d i s i p l i n E R
disciplinaires	d i s i p l i n E R
discipline	d i s i p l i n
discorde	d i s k O R d
discours	d i s k u R
discret	d i s k R E
discrets	d i s k R E
discriminant	d i s k R i m i n A~
discrimination	d i s k R i m i n a s j O~
discrète	d i s k R E t
discrètement	d i s k R E t m A~
discrètes	d i s k R E t
discrétion	d i s k R e s j O~
discussion	d i s k y s j O~
discussions	d i s k y s j O~
discutable	d i s k y t a b l
discuter	d i s k y t e
disent	d i z
disette	d i z E t
disgrâce	d i s g R A s
disjoncteur	d i s Z O~ k t 9 R
disparate	d i s p a R a t
disparaître	d i s p a R E t R
disparition	d i s p a R i s j O~
dispenser	d i s p A~ s e
disperser	d i s p E R s e
dispersion	d i s p E R s j O~
disponibilité	d i s p O n i b i l i t e
disponibilités	d i s p O n i b i l i t e
disponible	d i s p O n i b l
disposer	d i s p o z e
dispositif	d i s p o z i t i f
disposition	d i s p o z i s j O~
disposé	d i s p o z e
dispute	d i s p y t
disputer	d i s p y t e
disque	d i s k
disques	d I s k
disquette	d i s k E t
dissertation	d i s E R t a s j O~
dissimuler	d i s i m y l e
dissiper	d i s i p e
dissociation	d i s O s j a s j O~
dissoudre	d i s u d R
dissout	d i s u
dissuader	d i s H a d e
distance	d i s t A~ s
distinct	d i s t E~
distincte	d i s t E~ k t
distinctement	d i s t E~ k t @ m A~
distinctes	d i s t E~ k t
distinction	d i s t E~ k s j O~
distincts	d i s t E~
distinguer	d i s t E~ g e
distraction	d i s t R a k s j O~
distraire	d i s t R E R
distrait	d i s t R E
distribuer	d i s t R i b H e
distributeur	d i s t R i b y t 9 R
distribution	d i s t R i b y s j O~
district	d i s t R i k t
dit	d i
dite	d i t
diurne	d j y R n
diurétique	d j y R e t i k
diurétiques	d j y R e t i k
divan	d i v A~
diverge	d i v E R Z
divergence	d i v E R Z A~ s
divergent	d i v E R Z
divergé	d i v E R Z e
divers	d i v e
diversité	d i v E R s i t e
divertissement	d i v E R t i s m A~
divertissements	d i v E R t i s m A~
dividende	d i v i d A~ d
divin	d i v E~
divine	d i v i n
divisa	d i v i z a
diviser	d i v i z e
diviseur	d i v i z 9 R
divisible	d i v i z i b l
division	d i v i z j O~
divorce	d i v O R s
divorcer	d i v O R s e
dix	d i s
dixième	d i z j E m
dixièmes	d i z j E m
dizaine	d i z E n
dièse	d j E z
diète	d j E t
djihad	dZ j a
djinn	dZ i n
do	d o
docile	d O s i l
docteur	d O k t 9 R
docteurs	d O k t 9 R
document	d O k y m A~
documentaire	d O k y m A~ t E R
documentation	d O k y m A~ t a s j O~
documentations	d O k y m A~ t a s j O~
documenter	d O k y m A~ t e
dodo	d o d o
doge	d O Z
dogmatique	d O g m a t i k
dogme	d O g m
doigt	d w a
dois	d w a
doit	d w a
dojo	d o Z o
dol	d O l
dollar	d O l a R
dolomie	d O l O m i
dolomite	d O l O m i t
domaine	d O m E n
domestique	d O m E s t i k
domestiques	d O m E s t i k
domestiqué	d O m E s t i k e
domicile	d O m i s i l
dominant	d O m i n A~
dominer	d O m i n e
dominical	d O m i n i k a l
dominicale	d O m i n i k a l
dommage	d O m a Z
don	d O~
donc	d O~ k
donjon	d O~ Z O~
donne	d O n
donner	d O n e
donnée	d O n e
dons	d O~
dont	d O~
dopamine	d O p a m i n
dorade	d O R a d
dormant	d O R m A~
dorment	d O R m
dormir	d O R m i R
dort	d O R
dortoir	d O R t w a R
dorure	d O R y R
dorures	d O R y R
doryphore	d O R i f O R
doré	d O R e
dorénavant	d O R e n a v A~
dos	d o
dosage	d o z a Z
dose	d o z
dossier	d o s j e
dot	d O t
dota	d O t a
dote	d O t
doter	d O t e
dotée	d O t e
dotées	d O t e
dotés	d O t e
douairière	d w E R j E R
douane	d w a n
douanier	d w a n j e
douar	d w a R
doublage	d u b l a Z
double	d u b l
doublement	d u b l @ m A~
doubler	d u b l e
doubles	d u b l
doublet	d u b l E
doubleur	d u b l 9 R
doublure	d u b l y R
douce	d u s
doucement	d u s m A~
doucet	d u s E
douceur	d u s 9 R
douche	d u S
doudou	d u d u
douille	d u j
douleur	d u l 9 R
douloureux	d u l u R 2
douma	d u m a
doute	d u t
douter	d u t e
douteuse	d u t 2 z
douteux	d u t 2
douve	d u v
douves	d u v
doux	d u
douzaine	d u z E n
douze	d u z
douzième	d u z j E m
doué	d w e
douée	d w e
doués	d w e
doyen	d w a j E~
drac	d R a k
dragon	d R a g O~
dragueur	d R a g 9 R
dragueurs	d R a g 9 R
drainage	d R E n a Z
drainer	d R E n e
dramaturge	d R a m a t y R Z
dramaturgie	d R a m a t y R Z i
drame	d R a m
drap	d R a
drapeau	d R a p o
draper	d R a p e
dreadnought	d R E d n O t
dressage	d R E s a Z
dresser	d R e s e
driver	d R a j v 9 R
drogue	d R O g
droit	d R w A
droite	d R w a t
droiture	d R w a t y R
drop	d R O p
drosophile	d R o z O f i l
dru	d R y
druide	d R H i d
druides	d R H i d
drôle	d R o l
drôles	d R O l
du	d y
dualisme	d H a l i z m
dualité	d H a l i t e
duc	d y k
ducal	d y k a l
ducasse	d y k a s
duchesse	d y S E s
ductile	d y k t i l
dudit	d y d i
due	d y
duel	d H E l
dues	d y
dundee	d E~ d e
dune	d y n
duo	d H o
duplex	d y p l E k s
duquel	d y k E l
dur	d y R
durant	d y R A~
durci	d y R s i
durcit	d y R s i
durer	d y R e
durera	d y R R a
dureté	d y R t e
durée	d y R e
dus	d y
dut	d y
duvet	d y v E
dynamite	d i n a m i t
dynastie	d i n a s t i
dynasties	d i n a s t i
dysfonctionnement	d i s f O~ k s j O n m A~
dyslexie	d i s l E k s i
dyspnée	d i s p n e
dème	d E m
dès	d E
dé	d e
débarquer	d e b a R k e
débarrasser	d e b a R a s e
débat	d e b a
débattre	d e b a t R
débit	d e b i
débiteur	d e b i t 9 R
débloquer	d e b l O k e
débogage	d e b O g a Z
déboires	d e b w a R
déboisement	d e b w a z m A~
débordement	d e b O R d @ m A~
déborder	d e b O R d e
déboucher	d e b u S e
débris	d e b R i
début	d e b y
débutant	d e b y t A~
débute	d e b y t
débuter	d e b y t e
débâcle	d e b A k l
décadence	d e k a d A~ s
décalage	d e k a l a Z
décalé	d e k a l e
décantation	d e k A~ t a s j O~
décapitation	d e k a p i t a s j O~
décathlon	d e k a t l O~
déceler	d e s l e
décembre	d e s A~ b R
décennie	d e s e n i
déception	d e s E p s j O~
décharger	d e S a R Z e
déchaux	d e S o
déchet	d e S E
déchets	d e S E
déchiffrement	d e S i f R @ m A~
déchiffrer	d e S i f R e
déchirer	d e S i R e
déchirure	d e S i R y R
déchu	d e S y
déchéance	d e S e A~ s
décider	d e s i d e
décision	d e s i z j O~
déclaration	d e k l a R a s j O~
déclarer	d e k l a R e
déclencheur	d e k l A~ S 9 R
déclinaison	d e k l i n E z O~
décliner	d e k l i n e
déco	d e k o
décoder	d e k o d e
décollage	d e k O l a Z
décoller	d e k O l e
décolletage	d e k O l t a Z
décomposer	d e k O~ p O z e
décomposition	d e k O~ p O z i s j O~
décor	d e k O R
décoration	d e k O R a s j O~
décorations	d e k O R a s j O~
décorer	d e k O R e
décors	d e k O R
découpage	d e k u p a Z
découper	d e k u p e
décourager	d e k u R a Z e
découverte	d e k u v E R t
découvrir	d e k u v R i R
décret	d e k R E
décrire	d e k R i R
décrochage	d e k R O S a Z
décrocher	d e k R O S e
décroître	d e k R w a t R
décès	d e s E
dédale	d e d a l
dédommagement	d e d O m a Z m A~
déduction	d e d y k s j O~
déduire	d e d H i R
déesse	d e E s
défaillant	d e f a j A~
défaire	d e f E R
défaite	d e f E t
défaut	d e f o
défendre	d e f A~ d R
défendu	d e f A~ d y
défense	d e f A~ s
défenseur	d e f A~ s 9 R
défi	d e f i
déficience	d e f i s j A~ s
déficiences	d e f i s j A~ s
déficit	d e f i s i t
défier	d e f j e
défilement	d e f i l m A~
défiler	d e f i l e
défilé	d e f i l e
défini	d e f i n i
définir	d e f i n i R
définitif	d e f i n i t i f
définition	d e f i n i s j O~
déforestation	d e f O R E s t a s j O~
défunt	d e f 9~
défécation	d e f e k a s j O~
dégagement	d e g a Z m A~
dégager	d e g a Z e
dégel	d e Z E l
dégoût	d e g u
déguiser	d e g i z e
déguster	d e g y s t e
dégât	d e g A
dégénérescence	d e Z e n e R E s A~ s
déité	d e i t e
déités	d e i t e
déjeuner	d e Z 2 n e
déjouer	d e Z w e
déjà	d e Z a
délabrement	d e l a b R @ m A~
délai	d e l E
délaisser	d e l e s e
délibération	d e l i b e R a s j O~
délibérations	d e l i b e R a s j O~
délibéré	d e l i b E R e
délicat	d e l i k a
délicatement	d e l i k a t m A~
délicieux	d e l i s j 2
délimiter	d e l i m i t e
délire	d e l i R
délires	d e l i R
délivrance	d e l i v R A~ s
délivrer	d e l i v R e
déluge	d e l y Z
délégation	d e l e g a s j O~
déléguer	d e l e g e
démanteler	d e m A~ t l e
démantèlement	d e m A~ t E l m A~
démarche	d e m a R S
démarquer	d e m a R k e
démarrer	d e m a R e
démembré	d e m A~ b R e
démence	d e m A~ s
dément	d e m A~
démenti	d e m A~ t i
démis	d e m i
démission	d e m i s j O~
démissionnaire	d e m i s j O n E R
démissionner	d e m i s j O n e
démocrate	d e m O k R a t
démocrates	d e m O k R a t
démocratie	d e m O k R a s i
démocraties	d e m O k R a s i
démocratique	d e m O k R a t i k
démocratiquement	d e m O k R a t i k m A~
démocratiques	d e m O k R a t i k
démolir	d e m O l i R
démon	d e m O~
démonstratif	d e m O~ s t R a t i f
démonstratifs	d e m O~ s t R a t i f
démonstration	d e m O~ s t R a s j O~
démontage	d e m O~ t a Z
démontrer	d e m O~ t R e
déménagement	d e m e n a Z m A~
déménager	d e m e n a Z e
dénombrable	d e n O~ b R a b l
dénombrer	d e n O~ b R e
dénomination	d e n O m i n a s j O~
dénommer	d e n O m e
dénonce	d e n O~ s
dénoncent	d e n O~ s
dénoncer	d e n O~ s e
dénonciation	d e n O~ s j a s j O~
dénoncé	d e n O~ s e
dénonça	d e n O~ s a
dénonçant	d e n O~ s A~
dénouement	d e n u m A~
dénudé	d e n y d e
dénuement	d e n y m A~
déontologie	d e O~ t O l O Z i
départ	d e p a R
départager	d e p a R t a Z e
département	d e p a R t @ m A~
départemental	d e p a R t @ m A~ t a l
départementale	d e p a R t @ m A~ t a l
départementales	d e p a R t @ m A~ t a l
départementaux	d e p a R t @ m A~ t o
dépassement	d e p A s m A~
dépasser	d e p a s e
dépeindre	d e p E~ d R
dépendance	d e p A~ d A~ s
dépendant	d e p A~ d A~
dépendre	d e p A~ d R
dépens	d e p A~
dépense	d e p A~ s
dépenser	d e p A~ s e
dépenses	d e p A~ s
dépister	d e p i s t e
dépit	d e p i
déplacer	d e p l a s e
déployer	d e p l w a j e
déposer	d e p o z e
dépositaire	d e p o z i t E R
dépouille	d e p u j
dépouillement	d e p u j m A~
dépressif	d e p R E s i f
dépression	d e p R E s j O~
dépressive	d e p R E s i v
député	d e p y t e
dépêche	d e p E S
dépôt	d e p o
dérangement	d e R A~ Z m A~
déranger	d e R A~ Z e
dérivation	d e R i v a s j O~
dériver	d e R i v e
dériveur	d e R i v 9 R
dérivé	d e R i v e
dérober	d e R O b e
dérobé	d e R O b e
dérouler	d e R u l e
déroute	d e R u t
désaccord	d e z a k O R
désaccords	d e z a k O R
désagréable	d e z a g R e a b l
désagréables	d E z a g r e a b l
désarmement	d e z a R m @ m A~
désarroi	d e z a R w a
désastre	d e z a s t R
désastres	d e z a s t R
désastreux	d e z a s t R 2
désert	d e z E R
déserte	d e z E R t
déserteur	d e z E R t 9 R
déserteurs	d e z E R t 9 R
désespoir	d e z E s p w a R
désespérément	d e z E s p e R e m A~
déshydrogénase	d e z i d R O Z e n a z
désigner	d e z i J e
désinence	d e z i n A~ s
désinfectant	d e z E~ f E k t A~
désinformation	d e z E~ f O R m a s j O~
désir	d e z i R
désire	d e z i R
désirer	d e z i R e
désireux	d e z i R 2
désirs	d e z i R
désobéissance	d e z O b e i s A~ s
désolation	d e z O l a s j O~
désordre	d e z O R d R
désordres	d e z O R d R
désormais	d e z O R m E
désuet	d e s H E
désuète	d e z H E t
désuétude	d e s H e t y d
détachement	d e t a S m A~
détacher	d e t a S e
détail	d e t a j
détailler	d e t a j e
détenaient	d e t n E
détenait	d e t n E
détenant	d e t n A~
détenir	d E t n i R
détente	d e t A~ t
déterminant	d e t E R m i n A~
déterminants	d e t E R m i n A~ t
déterminer	d e t E R m i n e
déterminé	d e t E R m i n e
détiennent	d e t j E n
détonation	d e t O n a s j O~
détour	d e t u R
détournant	d e t u R n A~
détourne	d e t u R n
détournement	d e t u R n @ m A~
détournent	d e t u R n
détourner	d e t u R n e
détourné	d e t u R n e
détournée	d e t u R n e
détournés	d e t u R n e
détresse	d e t R E s
détritus	d e t R i t y s
détritus	d e t R i t y
détroit	d e t R w a
détruire	d e t R H i R
détériorer	d e t e R j O R e
dévastation	d e v a s t a s j O~
développement	d e v l O p m A~
développer	d e v l O p e
déviation	d e v j a s j O~
dévier	d e v j e
dévoiler	d e v w a l e
dévorer	d e v O R e
dévotion	d e v O s j O~
dévotions	d e v O s j O~
dévouement	d e v u m A~
dévoué	d e v w e
déçu	d e s y
dîme	d i m
dîner	d i n e
dôme	d o m
dû	d y
dûment	d y m A~
e	2
eagle	i g l
eau	o
ecclésiastique	e k l e z j a s t i k
ed	E d
effacer	e f a s e
effectif	e f E k t i f
effectuer	e f E k t H e
effet	e f E
efficace	e f i k a s
efficacement	e f i k a s m A~
efficacité	E f i k a s i t e
effondrement	E f O~ d R @ m A~
effondrements	E f O~ d R @ m A~
effort	e f O R
effraie	e f R E
effrayer	e f R e j e
electro	e l E k t R o
elfe	E l f
elfes	E l f
elle	E l
elles	E l
ellipse	e l i p s
elliptique	e l i p t i k
embarcation	A~ b a R k a s j O~
embarquer	A~ b a R k e
embauche	A~ b o S
embaucher	A~ b o S e
embellir	A~ b e l i R
embolie	A~ b O l i
embouchure	A~ b u S y R
embranchement	A~ b R A~ S m A~
embrasser	A~ b R a s e
embrun	A~ b R 9~
embryon	A~ b R i j O~
embryonnaire	A~ b R i j O n E R
embryonnaires	A~ b R i j O n E R
embryons	A~ b R i j O~
embuscade	A~ b y s k a d
emmener	A~ m n e
emménage	A~ m e n a Z
emparé	A~ p a R e
empereur	A~ p R 9 R
empire	A~ p i R
empirique	A~ p i R i k
empiriques	A~ p i R i k
emplacement	A~ p l a s m A~
empli	A~ p l i
emploi	A~ p l w a
employer	A~ p l w a j e
employé	A~ p l w a j e
empoisonnement	A~ p w a z O n m A~
empoisonner	A~ p w a z O n e
emporter	A~ p O R t e
empreinte	A~ p R E~ t
empreintes	A~ p R E~ t
emprise	A~ p R i z
emprisonné	A~ p R i z O n e
emprunt	A~ p R 9~
emprunte	A~ p R 9~ t
emprunter	A~ p R 9~ t e
empêcher	A~ p E S e
en	A~
encadrer	A~ k A d R e
encaisser	A~ k E s e
encas	A~ k A
enceinte	A~ s E~ t
enchanté	A~ S A~ t e
enchaînement	A~ S E n m A~
enchaînements	A~ S E n m A~
enchaîner	A~ S E n e
enclave	A~ k l a v
enclin	A~ k l E~
enclos	A~ k l o
encombre	A~ k O~ b R
encontre	A~ k O~ t R
encore	A~ k O R
encourager	A~ k u R a Z e
encourus	A~ k u R y
encre	A~ k R
encyclopédie	A~ s i k l O p e d i
encyclopédique	A~ s i k l O p e d i k
endommager	A~ d O m a Z e
endroit	A~ d R w a
endroits	A~ d R w a
enduit	A~ d H i
endémique	A~ d e m i k
endémiques	A~ d e m i k
enfance	A~ f A~ s
enfant	A~ f A~
enfantin	A~ f A~ t E~
enfants	A~ f A~
enfer	A~ f E R
enfermer	A~ f E R m e
enfilade	A~ f i l a d
enfin	A~ f E~
engage	A~ g a Z
engager	A~ g a Z e
engendrer	A~ Z A~ d R e
engin	A~ Z E~
englober	A~ g l O b e
engouement	A~ g u m A~
engrais	A~ g R E
engrenage	A~ g R @ n a Z
enjeu	A~ Z 2
enlever	A~ l v e
enluminures	A~ l y m i n y R
enlèvement	A~ l E v m A~
ennemi	E n m i
ennuis	A~ n H i
ennuyeux	A~ n H i j 2
enquête	A~ k E t
enquêter	A~ k E t e
enquêteur	A~ k E t 9 R
enregistrer	A~ R @ Z i s t R e
enrichir	A~ R i S i R
enseigna	A~ s E J a
enseignait	A~ s E J e
enseignant	A~ s E J A~
enseigne	A~ s E J
enseignement	A~ s E J m A~
enseignent	A~ s E J
enseigner	A~ s E J e
enseignes	A~ s E J
enseigné	A~ s E J e
ensemble	A~ s A~ b l
ensoleillé	A~ s O l E j e
ensuite	A~ s H i t
entablement	A~ t a b l @ m A~
entaille	A~ t a j
entame	A~ t a m
entamer	A~ t a m e
entendant	A~ t A~ d A~
entendre	A~ t A~ d R
entendu	A~ t A~ d y
entente	A~ t A~ t
enterrement	A~ t E R m A~
enterrements	A~ t E R m A~
enterrer	A~ t E R e
enthousiasme	A~ t u z j a s m
entier	A~ t j e
entièrement	A~ t j E R m A~
entonnoir	A~ t O n w a R
entourage	A~ t u R a Z
entourer	A~ t u R e
entrailles	A~ t R a j
entrave	A~ t R a v
entraver	A~ t R a v e
entraînement	A~ t R E n m A~
